date,inventory_payment,shipping_cost,processing_fee,marketing_expense,platform_fee,fixed_costs,total_outflows
2017-12-11,0.0,5351.48,1116.4093500000001,7785.394,3892.697,1666.6666666666667,19812.647016666666
2017-12-12,0.0,5044.61,1013.43235,7621.5160000000005,3810.7580000000003,1666.6666666666667,19156.98301666667
2017-12-13,0.0,4763.29,947.1623000000001,6825.444,3412.722,1666.6666666666667,17615.284966666666
2017-12-14,0.0,4294.64,1378.80365,5916.174,2958.087,1666.6666666666667,16214.371316666666
2017-12-15,0.0,4032.85,1430.5746000000001,6230.034000000001,3115.0170000000003,1666.6666666666667,16475.14226666667
2017-12-16,767524.788,2590.28,1052.2897000000003,4548.330000000001,2274.1650000000004,1666.6666666666667,779656.5193666666
2017-12-17,0.0,2777.2400000000002,888.1425,4391.95,2195.975,1666.6666666666667,11919.974166666667
2017-12-18,0.0,4648.5,1014.20725,6762.780000000001,3381.3900000000003,1666.6666666666667,17473.54391666667
2017-12-19,0.0,3512.3,1025.0121000000001,4826.902,2413.451,1666.6666666666667,13444.331766666668
2017-12-20,0.0,3919.88,851.52095,6158.484,3079.242,1666.6666666666667,15675.793616666666
2017-12-21,0.0,2906.42,1195.0841000000003,4249.488,2124.744,1666.6666666666667,12142.402766666666
2017-12-22,0.0,2260.89,752.17345,3436.56,1718.28,1666.6666666666667,9834.570116666666
2017-12-23,0.0,2363.4,958.9489000000001,2839.764,1419.882,1666.6666666666667,9248.661566666666
2017-12-24,0.0,1053.67,675.0100000000001,1330.738,665.369,1666.6666666666667,5391.453666666667
2017-12-25,0.0,2267.63,497.02135000000004,2479.614,1239.807,1666.6666666666667,8150.739016666666
2017-12-26,0.0,3199.33,451.09155000000004,4656.156,2328.078,1666.6666666666667,12301.322216666666
2017-12-27,0.0,3327.11,365.70765,4205.5019999999995,2102.7509999999997,1666.6666666666667,11667.737316666666
2017-12-28,0.0,2698.91,518.91735,3471.7000000000003,1735.8500000000001,1666.6666666666667,10092.044016666667
2017-12-29,0.0,2707.27,715.9446000000002,3724.018,1862.009,1666.6666666666667,10675.908266666667
2017-12-30,0.0,2146.84,774.47055,3040.32,1520.16,1666.6666666666667,9148.457216666666
