date,net_cash_inflow,inventory_payment,shipping_cost,processing_fee,marketing_expense,platform_fee,fixed_costs,total_outflows,net_daily_cash_flow,running_balance,cash_status,month
2017-11-24,37335.17,0.0,25632.920000000002,1306.7309500000001,21297.9888,17748.324,833.3333333333334,66819.29708333332,-29484.127083333326,-31628.907449999708,insolvent,2017-11
2017-11-25,56194.53,0.0,10878.81,1966.8085500000002,8563.7292,7136.441000000001,833.3333333333334,29379.122083333332,26815.407916666667,-4813.499533333059,insolvent,2017-11
2017-11-26,52153.64,0.0,8226.28,1825.3774,6369.6612000000005,5308.051,833.3333333333334,22562.70293333333,29590.93706666667,24777.437533333607,critical,2017-11
2017-11-27,150922.21,0.0,8707.88,5282.27735,6775.520399999999,5646.267,833.3333333333334,27245.27808333333,123676.93191666665,148454.36945000023,healthy,2017-11
2017-11-28,73020.96,0.0,8343.8,2555.7336000000005,6738.1632,5615.136,833.3333333333334,24086.16613333333,48934.793866666674,197389.1633166669,healthy,2017-11
2017-11-29,58265.98,0.0,7184.36,2039.3093000000003,5636.612399999999,4697.177,833.3333333333334,20390.79203333333,37875.18796666667,235264.35128333356,healthy,2017-11
2017-11-30,57351.54,0.0,5282.63,2007.3039,4386.3648,3655.304,833.3333333333334,16164.936033333333,41186.60396666667,276450.95525000023,healthy,2017-11
2017-12-01,51096.38,0.0,5969.04,1788.3733,5445.726000000001,4538.1050000000005,833.3333333333334,18574.577633333334,32521.802366666663,308972.7576166669,healthy,2017-12
2017-12-02,43613.74,0.0,4486.84,1526.4809,4251.0696,3542.5580000000004,833.3333333333334,14640.281833333336,28973.458166666664,337946.2157833336,healthy,2017-12
2017-12-03,35086.23,0.0,4927.14,1228.0180500000001,4088.3651999999997,3406.971,833.3333333333334,14483.827583333334,20602.40241666667,358548.61820000026,healthy,2017-12
2017-12-04,46011.69,0.0,6707.25,1610.4091500000002,6272.470799999999,5227.059,833.3333333333334,20650.522283333332,25361.16771666667,383909.78591666697,healthy,2017-12
2017-12-05,42230.94,0.0,5928.05,1478.0829,4747.2504,3956.042,833.3333333333334,16942.758633333335,25288.181366666668,409197.9672833336,healthy,2017-12
